timestamp,network,mainers_created,total_cycles,total_paused,total_active,total_active_low,total_active_medium,total_active_high,total_active_very_high,total_paused_low,total_paused_medium,total_paused_high,total_paused_very_high
2025-06-29T14:04:01Z,prd,262,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:04:32Z,prd,263,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:05:04Z,prd,263,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:05:35Z,prd,264,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:06:07Z,prd,264,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:06:38Z,prd,265,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:07:09Z,prd,265,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:07:40Z,prd,266,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:08:12Z,prd,267,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:08:43Z,prd,267,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:09:14Z,prd,268,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:09:46Z,prd,269,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:10:18Z,prd,270,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:10:49Z,prd,271,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:11:20Z,prd,272,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:11:51Z,prd,273,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:12:23Z,prd,274,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:12:55Z,prd,276,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:13:27Z,prd,278,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:20:20Z,prd,278,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:20:52Z,prd,279,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:21:23Z,prd,279,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:21:54Z,prd,280,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:22:25Z,prd,280,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:22:57Z,prd,281,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:25:03Z,prd,281,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:25:34Z,prd,282,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:29:46Z,prd,282,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:30:17Z,prd,283,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:32:22Z,prd,283,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:32:54Z,prd,284,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:36:02Z,prd,284,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:36:33Z,prd,285,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:37:05Z,prd,285,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:37:36Z,prd,286,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:39:10Z,prd,286,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:39:42Z,prd,287,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:43:23Z,prd,287,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:43:54Z,prd,287,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:51:47Z,prd,287,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:52:19Z,prd,288,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:54:56Z,prd,288,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:55:27Z,prd,289,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:01:46Z,prd,289,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:02:17Z,prd,289,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:02:49Z,prd,292,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:03:20Z,prd,293,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:03:52Z,prd,294,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:04:23Z,prd,295,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:04:55Z,prd,296,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:05:26Z,prd,298,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:05:58Z,prd,299,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:06:29Z,prd,302,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:10:10Z,prd,302,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:10:42Z,prd,302,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:11:13Z,prd,303,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:13:04Z,prd,303,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:13:20Z,prd,304,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:14:09Z,prd,304,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:14:25Z,prd,304,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:14:42Z,prd,305,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:17:19Z,prd,305,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:18:20Z,prd,306,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:19:22Z,prd,307,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:20:23Z,prd,307,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:21:24Z,prd,309,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:22:26Z,prd,310,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:23:27Z,prd,313,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:24:30Z,prd,316,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:25:31Z,prd,316,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:26:33Z,prd,317,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:27:34Z,prd,317,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:28:36Z,prd,318,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:29:37Z,prd,319,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:30:39Z,prd,320,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:31:40Z,prd,321,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:33:45Z,prd,321,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:34:47Z,prd,322,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:35:49Z,prd,322,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:36:51Z,prd,324,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:58:24Z,prd,324,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T15:59:25Z,prd,325,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T16:00:27Z,prd,326,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T16:05:35Z,prd,326,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T16:06:36Z,prd,327,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T16:07:37Z,prd,328,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T16:13:46Z,prd,328,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T16:14:49Z,prd,329,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T16:15:50Z,prd,331,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T16:16:52Z,prd,332,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T16:17:53Z,prd,332,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T16:18:55Z,prd,334,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T16:19:56Z,prd,335,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T16:24:03Z,prd,335,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T16:25:05Z,prd,336,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T16:26:07Z,prd,336,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T16:27:08Z,prd,337,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T16:29:11Z,prd,337,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T16:30:12Z,prd,338,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T16:31:14Z,prd,338,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T16:32:17Z,prd,339,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T16:33:18Z,prd,340,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T16:36:23Z,prd,340,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T16:37:25Z,prd,341,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T16:41:30Z,prd,341,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T16:42:34Z,prd,342,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T17:18:23Z,prd,342,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T17:19:26Z,prd,343,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T17:20:27Z,prd,344,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T17:21:29Z,prd,344,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T17:22:30Z,prd,345,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T17:23:31Z,prd,346,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T17:37:54Z,prd,346,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T17:38:56Z,prd,347,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T17:39:57Z,prd,347,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T17:41:02Z,prd,348,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T17:43:05Z,prd,348,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T17:44:06Z,prd,348,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T17:45:08Z,prd,349,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T17:46:09Z,prd,350,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T17:47:11Z,prd,350,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T17:48:12Z,prd,351,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T17:49:14Z,prd,351,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T17:50:15Z,prd,352,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T17:51:16Z,prd,353,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T17:53:19Z,prd,353,0,0,0,0,0,0,0,0,0,0,0
